G1,G2,G3,G4,G5,G6,Key,Rounds,Effect distance,description,page,short_description,glyph_list,glyph_count,Spell Glyphs
Xama,Ix,,,,,2,instant,touch,Repairs the equivalent of 1D6 HP on a damaged weapon. This will be doubled to 2D6 if the enchanter uses Key stored in arbine. If the weapon is completely broken then the spell may only be effective if the roll is very high. This spell cannot be cast multiple times to repair the same area of damage. The weapon will need to go to an armour smith if the spell fails to restore all the HP.,25,Repairs the equivalent of 1D6 HP on a damaged weapon. This will be doubled to 2D6 if the enchanter uses Key stored in arbine.,Xama|Ix,2,Xama + Ix
Xama,Ylg,,,,,2,instant,touch,"Causes 1D6 HP of damage to a weapon by touching it. The affected area of the weapon will become crazed and weakened. If the weapon is magical this spell will usually fail, although at the referee’s discretion, it may cause the magic to stall for 1D6R, depending upon the nature of the magic involved.",25,Causes 1D6 HP of damage to a weapon by touching it. The affected area of the weapon will become crazed and weakened.,Xama|Ylg,2,Xama + Ylg
Xama,Lerru,Evu,,,,3,12R,self,"Adds +20% to all the caster’s melee attack skills. The combination will also increase the their AG by +4 for the purposes of combat ranking and combat characteristic struggles. This will not add to any of the caster’s other skills which are based on AG. This spell will not increase parry, dodge or missile weapon skills. It cannot be used to layer-up any other spells that increase attack skills.",25,Adds +20% to all the caster’s melee attack skills. The combination will also increase the their AG by +4 for the purposes of combat ranking and combat characteristic struggles.,Xama|Lerru|Evu,3,Xama + Lerru + Evu
Xama,Cya,Tira,,,,3,12R,self,"Creates a glowing sphere in the caster’s hand. The caster may throw the sphere at any target up to 10Sd distance using their throw skill, or basic attack if they have none. The sphere will cause 1D4+1 damage in a magical explosion to the target on impact. Once the caster has thrown a sphere, a new one will appear in their hand at the start of the next round. Once the spell ends the sphere in the caster’s hand will remain for 1R before vanishing.",25,"Creates a glowing sphere in the caster’s hand. The caster may throw the sphere at any target up to 10Sd distance using their throw skill, or basic attack if they have none.",Xama|Cya|Tira,3,Xama + Cya + Tira
Xama,Chom,Sen,,,,3,12R,20Sd,"Reduces the skill chance of any attacks, including missile attacks, made against the caster by -20%. The spell will also reduce the attacker’s AG by 4 points in terms of combat ranking and characteristic struggles against the caster. This will not reduce the attacker’s parry or dodge skills, nor will it affect their other AG based skills. The spell cannot be used in conjunction with other attack skill magics.",25,"Reduces the skill chance of any attacks, including missile attacks, made against the caster by -20%.",Xama|Chom|Sen,3,Xama + Chom + Sen
Xama,Eyama,Ekat,,,,3,instant,20Sd,"Enables the caster to attempt to pull the weapon from a target’s hand by matching their KEY to the target’s STR in a characteristic struggle. If the caster succeeds, then the target’s weapon will be wrenched from their hand and fly to the caster’s. Even if the caster should fail in the struggle the target will lose their attack and any parries with that weapon for that round.",26,Enables the caster to attempt to pull the weapon from a target’s hand by matching their KEY to the target’s STR in a characteristic struggle.,Xama|Eyama|Ekat,3,Xama + Eyama + Ekat
Xama,Shass,Evu,,,,3,V 2,20Sd,"Allows the caster to sense the presence of any hidden traps or ambushes in range of the caster. Like XAMA-SHASS, this spell will also forewarn the caster of any imminent, unexpected attack and allow them to avoid being surprised.",26,Allows the caster to sense the presence of any hidden traps or ambushes in range of the caster.,Xama|Shass|Evu,3,Xama + Shass + Evu
Xama,Shass,Chom,,,,3,V 1,self,"Completely conceals any weapons the caster is carrying about their person. If they are searched, the searcher will not be able to find anything whilst the spell is in effect. The spell is less likely to conceal a large weapon slung about the person such as a bow or giant axe although if the caster succeeds in a KEY vs an onlooker’s INT roll, then the onlooker will fail to notice the obvious. If the caster choses to draw one of the concealed weapons it will immediately become apparent to anyone watching.",26,"Completely conceals any weapons the caster is carrying about their person. If they are searched, the searcher will not be able to find anything whilst the spell is in effect.",Xama|Shass|Chom,3,Xama + Shass + Chom
Xama,Eja,Chom,,,,3,12R,self,"Hides the caster’s motion from a target’s peripheral vision so that they are not alerted to the caster’s surprise attack. The spell will not make the caster quiet, however and the target may still be alerted in this way. The spell does not make the caster invisible and if they are in full view the target can see them. If they are to the side or behind, they are much more difficult to spot.",26,Hides the caster’s motion from a target’s peripheral vision so that they are not alerted to the caster’s surprise attack.,Xama|Eja|Chom,3,Xama + Eja + Chom
Xama,Ghan,Cya,,,,3,12R,self,Creates a magical silvery weapon around the caster’s hand. The weapon can be used for a punch or knife attack depending how the caster holds their hand at the time of casting. The magical weapon will cause 2D4+2 damage on a successful hit. The caster will not take damage to their hand or feel pain when hitting armour or if the weapon is parried.,26,Creates a magical silvery weapon around the caster’s hand. The weapon can be used for a punch or knife attack depending how the caster holds their hand at the time of casting.,Xama|Ghan|Cya,3,Xama + Ghan + Cya
Xama,Ghan,Chom,,,,3,V 2,self,"Allows the caster to elect to take only half damage from a single blow at any point whilst the spell is active. Generally this will be the next blow they receive, but the caster can elect to defer the effect. They must do this before the damage is rolled.",27,Allows the caster to elect to take only half damage from a single blow at any point whilst the spell is active.,Xama|Ghan|Chom,3,Xama + Ghan + Chom
Xama,Ghan,Gis,,,,3,V 2,touch,The weapon upon which this is cast will take no damage when parrying a critical blow or conditions which may affect its HP. The spell will also protect the weapon from the effects of XAMA YLG or XAMA GHAN YLG spells.,27,The weapon upon which this is cast will take no damage when parrying a critical blow or conditions which may affect its HP.,Xama|Ghan|Gis,3,Xama + Ghan + Gis
Xama,Ghan,Ix,,,,3,instant,touch,"Helps mend a damaged weapon. The spell will repair the equivalent of 2D6 weapon HP (doubled if the caster uses Key stored in arbine). Note that, if the weapon is actually broken and on zero HP, then the spell may not work (at the referee’s discretion).",27,Helps mend a damaged weapon. The spell will repair the equivalent of 2D6 weapon HP (doubled if the caster uses Key stored in arbine).,Xama|Ghan|Ix,3,Xama + Ghan + Ix
Xama,Ghan,Ylg,,,,3,instant,touch,"Allows the caster to match their KEY against the HP of the target’s weapon. If they succeed, the weapon will snap, shatter or crumble beyon repair. The spell will have no effect if the weapon is protected by magic or has magic currently cast upon it.",27,"Allows the caster to match their KEY against the HP of the target’s weapon. If they succeed, the weapon will snap, shatter or crumble beyon repair.",Xama|Ghan|Ylg,3,Xama + Ghan + Ylg
Xama,Maef,Lerru,,,,3,12R,touch,"Enchants a weapon to enable it to cause magical damage to a target including spirits or undead creatures that might otherwise be unaffected by mundane weapons. On a successful hit the enchanted weapon will cause 1D4 Key damage to the target. This may appear in different ways for different creatures. This magical damage can also be done to a living creature on top of the weapon’s normal damage. It should be noted that if the target has armour, then the weapon’s mundane damage must penetrate the armour before any Key damage is caused.",27,Enchants a weapon to enable it to cause magical damage to a target including spirits or undead creatures that might otherwise be unaffected by mundane weapons.,Xama|Maef|Lerru,3,Xama + Maef + Lerru
Xama,Maef,Cya,,,,3,12R,self,"Creates an insubstantial glowing weapon around the caster’s hand. The weapon can be used for a punch or knife attack depending how the caster holds their hand at the time of casting. The magical weapon will cause 1D4+1 damage on a successful hit. Being magical the weapon may penetrate up to 3 points of armour, including magical armour. The caster may feel pain when hitting armour. If their attack is parried, they must roll for luck (Keyx3) or take 1D4+1 damage to their own hand.",28,Creates an insubstantial glowing weapon around the caster’s hand. The weapon can be used for a punch or knife attack depending how the caster holds their hand at the time of casting.,Xama|Maef|Cya,3,Xama + Maef + Cya
Xama,Eyama,Ekat,Evu,,,4,1R,20Sd,"Summons all the caster’s dropped or stored weapons and arrows to them over the course of 1R. The weapons will not fly at the caster lethally, they will slow as they get near and if possible slot into their scabbards or quivers. The caster may also grasp a weapon as it approaches if they wish. If the caster possesses no weapons in range then a selection of random weapons from within range of the spell will be called.",28,Summons all the caster’s dropped or stored weapons and arrows to them over the course of 1R.,Xama|Eyama|Ekat|Evu,4,Xama + Eyama + Ekat + Evu
Xama,Ghan,Chom,Evu,,,4,V 2,self,"Allows the caster to elect to take no damage from a single blow at any point whilst the spell is active. Generally this will be the next blow they receive, but the caster can elect to defer the effect. They must do this before the damage is rolled.",28,Allows the caster to elect to take no damage from a single blow at any point whilst the spell is active.,Xama|Ghan|Chom|Evu,4,Xama + Ghan + Chom + Evu
Xama,Ghan,Chom,Ylg,,,4,12R,self,"Should an attacker land a blow upon them, the spell will automatically match the caster’s KEY against the HP of the weapon in a characteristic struggle. If the caster wins, the weapon will break. This will occur even if the weapon failed to cause damage to the caster. If the weapon is magical, then it will not suffer damage.",28,"Should an attacker land a blow upon them, the spell will automatically match the caster’s KEY against the HP of the weapon in a characteristic struggle. If the caster wins, the weapon will break.",Xama|Ghan|Chom|Ylg,4,Xama + Ghan + Chom + Ylg
Xama,Maef,Cya,Tira,,,4,12R,self,"Creates a glowing sphere in the caster’s hand. The caster may throw the sphere at any target up to 10Sd distance using their throw skill, or basic attack if they have none. The sphere will magically explode on impact causing 1D10+1 damage. Being magical itself, the explosion may penetrate up to 5 points of magical armour. Once the caster has thrown a sphere, a new one will appear in their hand at the start of the next round. When the spell ends the sphere in the caster’s hand will vanish after 1R.",28,"Creates a glowing sphere in the caster’s hand. The caster may throw the sphere at any target up to 10Sd distance using their throw skill, or basic attack if they have none.",Xama|Maef|Cya|Tira,4,Xama + Maef + Cya + Tira
Xama,Ghan,Chom,Ylg,Evu,,4,V 2,self,"Allows the caster to elect to take no damage from a single blow at any point whilst the spell is active. Generally this will be the next blow they receive, but the caster can elect to defer the effect. They must do this before the damage is rolled. At the same time the caster will automatically match their KEY against the HP of the weapon in a characteristic struggle. If the caster wins, the weapon will break. This will occur even if the weapon failed to cause damage to the caster. If the weapon is magical, then it will not suffer damage, unless the roll is a critical. ",29,Allows the caster to elect to take no damage from a single blow at any point whilst the spell is active.,Xama|Ghan|Chom|Ylg|Evu,5,Xama + Ghan + Chom + Ylg + Evu
Gis,Evu,,,,,1,12R,self,Adds 5% to all the caster’s parry and dodge skills.,31,Adds 5% to all the caster’s parry and dodge skills.,Gis|Evu,2,Gis + Evu
Gis,Sen,,,,,1,12R see,spell,"Reduces any parry or dodge skill rolls, made against the caster’s attacks, by 5%. This can include targets the caster fires missile weapons at over a considerable distance. This reduction only applies to attacks made by the caster.",31,"Reduces any parry or dodge skill rolls, made against the caster’s attacks, by 5%. This can include targets the caster fires missile weapons at over a considerable distance.",Gis|Sen,2,Gis + Sen
Gis,Lerru,,,,,2,12R,self,"Improves the caster’s anticipation of an opponent’s attacks, giving an additional 15% on all parry and dodge skill rolls whilst the spell is active.",31,"Improves the caster’s anticipation of an opponent’s attacks, giving an additional 15% on all parry and dodge skill rolls whilst the spell is active.",Gis|Lerru,2,Gis + Lerru
Gis,Cya,,,,,2,12R,self,"Creates a magical defence about the caster’s body giving +1 armour protection. The defence will give off a faint shimmering glow. This may also be interpreted as increasing the caster’s attribute resistance rolls to cold, heat, poison or disease by 1pt. The spell will not be effective in increasing the caster’s resistance to magic. This spell may be cast on top of existing armour, adding to its defence, but cannot be used in conjunction with any other defensive spells. Critical hits by non-magical weapons will not ignore this protection.",31,Creates a magical defence about the caster’s body giving +1 armour protection. The defence will give off a faint shimmering glow.,Gis|Cya,2,Gis + Cya
Gis,Chom,,,,,2,12R,touch,"Magically reduces the target’s armour by 1pt. This may also be interpreted as reducing the target’s attribute resistance rolls to cold, heat, poison or disease by 1pt. The spell will not be effective in reducing the target’s resistance to magic.",31,"Magically reduces the target’s armour by 1pt. This may also be interpreted as reducing the target’s attribute resistance rolls to cold, heat, poison or disease by 1pt.",Gis|Chom,2,Gis + Chom
Gis,Shass,,,,,2,instant,20Sd,"Allows the caster to determine what sort of defences and weaknesses an opponent, place or object has. The spell will not give the caster a detailed explanation but will provide them with a vague idea. Thus if the spell were cast upon a vampire, it would inform them that the vampire is very well protected from physical attack but vulnerable to certain light, without letting caster know what kind of light or how much damage the vampire might suffer.",31,"Allows the caster to determine what sort of defences and weaknesses an opponent, place or object has. The spell will not give the caster a detailed explanation but will provide them with a vague idea.",Gis|Shass,2,Gis + Shass
Gis,Eyama,,,,,2,12R,20Sd,"Summons an invisible arm to defend the caster’s back. The arm must be given a suitable shield, parrying weapon, stool, frying pan with which to operate. It may make one parry each round against attacks made at the caster’s back, effectively adding one full parry combat action. The arm has a parry skill of 50 with whatever it is using.",32,"Summons an invisible arm to defend the caster’s back. The arm must be given a suitable shield, parrying weapon, stool, frying pan with which to operate.",Gis|Eyama,2,Gis + Eyama
Gis,Tira,,,,,2,12R,20Sd,"Increases the caster’s ability to knock an opponent back. Each time they make a successful parry the caster has a 20% chance of knocking their opponent back 1D2Sd forcing them to make a balance or AGx3 roll to avoid tripping over. The caster may do this with whatever weapon or shield they are using to parry. Additionally if the caster chooses to use their shield or a hafted weapon in a knock back attack, they may do so at +20% whilst the spell is running.",32,Increases the caster’s ability to knock an opponent back.,Gis|Tira,2,Gis + Tira
Gis,Ekat,,,,,2,instant,20Sd,"Magically seeks a weakness in the target’s armour causing a buckle or tie to come undone and some part to loosen, reducing its effectiveness to be reduced by 1D4 points. The spell will not generally damage the opponent’s armour and it can usually be fixed if the wearer has a round or two free to do so. In more complete armour like chainmail the back or a sleeve may ride up and become entangled in some way thereby leaving an area exposed.",32,"Magically seeks a weakness in the target’s armour causing a buckle or tie to come undone and some part to loosen, reducing its effectiveness to be reduced by 1D4 points.",Gis|Ekat,2,Gis + Ekat
Gis,Worav,,,,,2,6R,20Sd,"If the caster makes a successful parry at half their chance or less this spell enables them to flick their opponent’s weapon out of their grasp to disarm them. The weapon will fall 1D2Sd in a random direction. This spell will not disarm an opponent using natural weapons such as teeth or claws, but will cause them to lose their next attack instead.",32,If the caster makes a successful parry at half their chance or less this spell enables them to flick their opponent’s weapon out of their grasp to disarm them.,Gis|Worav,2,Gis + Worav
Gis,Ix,,,,,2,instant,touch,Mends a shield or item of damaged armour. The spell will repair the equivalent of 1D6 of protection points on the item. This will double if the enchanter uses Key stored in arbine. If the armour or shield is completely broken then the spell may be ineffective (at the referee’s discretion).,33,Mends a shield or item of damaged armour. The spell will repair the equivalent of 1D6 of protection points on the item.,Gis|Ix,2,Gis + Ix
Gis,Ylg,,,,,2,instant,touch,"Causes 1D6 points of damage to a shield or armour by touching it, effectively reducing its protection by that amount. This spell will cause the affected area of the armour or shield to become cracked and weakened. If the armour is magical this spell will usually fail.",33,"Causes 1D6 points of damage to a shield or armour by touching it, effectively reducing its protection by that amount.",Gis|Ylg,2,Gis + Ylg
Gis,Lerru,Evu,,,,3,12R,self,Adds +25 to all the caster’s parry and dodge rolls whilst the spell is in operation.,33,Adds +25 to all the caster’s parry and dodge rolls whilst the spell is in operation.,Gis|Lerru|Evu,3,Gis + Lerru + Evu
Gis,Chom,Sen,,,,3,6R,touch,"Reduces the target’s armour protection by 2 points. Armour affected by this magic will appear dull and may produce puffs of dust when struck. The spell will also affect the target’s ability to resist poison, disease cold or heat, reducing attribute rolls by 2 points. The spell will have no effect on the target’s ability to resist magic.",33,Reduces the target’s armour protection by 2 points. Armour affected by this magic will appear dull and may produce puffs of dust when struck.,Gis|Chom|Sen,3,Gis + Chom + Sen
Gis,Eyama,Ekat,,,,3,12R,10Sd,"Pulls the caster’s armour on to their body over the course of 1R. If the caster has none, then any unclaimed armour within range will be considered fair game. The armour will not be tied or buckled on, but will be held in place as if it were by the spell for the next 11R. At the end of the spell, depending on the type, the armour will most likely just drop off.",33,"Pulls the caster’s armour on to their body over the course of 1R. If the caster has none, then any unclaimed armour within range will be considered fair game.",Gis|Eyama|Ekat,3,Gis + Eyama + Ekat
Gis,Eja,Chom,,,,3,V 2,self,"Makes the caster’s armour look like mere clothing to any observers for the duration of the spell. The concealment is only visual and if someone were to actually touch the caster they would feel hard armour not fabric. As a rough guide, the more expensive looking the armour, the finer the illusory clothing will appear.",33,Makes the caster’s armour look like mere clothing to any observers for the duration of the spell.,Gis|Eja|Chom,3,Gis + Eja + Chom
Gis,Ghan,Cya,,,,3,12R,self,"Creates a magical defence about the recipient’s body giving +2 protection. The defence will give off a faint shimmering glow. This this spell will also increase the caster’s attribute resistance rolls to cold, heat, poison or disease by 2 points. The spell will not be effective in increasing the caster’s resistance to magic. This spell may be cast on top of existing armour adding to its defence, but cannot be used in conjunction with any other defensive spells. Critical hits by non-magical weapons will not ignore this protection.",34,Creates a magical defence about the recipient’s body giving +2 protection. The defence will give off a faint shimmering glow.,Gis|Ghan|Cya,3,Gis + Ghan + Cya
Gis,Ghan,Chom,,,,3,12R,self,"Enchants the caster’s armour such that they it will always protect at its normal value, even when the caster is struck by a critical blow.",34,"Enchants the caster’s armour such that they it will always protect at its normal value, even when the caster is struck by a critical blow.",Gis|Ghan|Chom,3,Gis + Ghan + Chom
Gis,Ghan,Ix,,,,3,instant,touch,Mends a shield or item of damaged armour. The spell will repair the equivalent of 2 points of protection on the item per level of the caster or 4 per level if the enchanter uses Key stored in arbine. If the armour is completely broken then the spell may be ineffective (at the referee’s discretion).,34,Mends a shield or item of damaged armour. The spell will repair the equivalent of 2 points of protection on the item per level of the caster or 4 per level if the enchanter uses Key stored in arbine.,Gis|Ghan|Ix,3,Gis + Ghan + Ix
Gis,Ghan,Ylg,,,,3,instant,20Sd,"Enables the caster to match their current KEY to the maximum protection of the target’s armour. Should they succeed the armour will be damaged by a magical corrosion. The target must roll their armour and deduct that amount from the armour’s protection permanently. The spell will have no effect if the armour is protected by magic, or has magic currently upon it. NB armour that loses less than half its protection to this spell might still be repaired by an armour-smith.",34,Enables the caster to match their current KEY to the maximum protection of the target’s armour. Should they succeed the armour will be damaged by a magical corrosion.,Gis|Ghan|Ylg,3,Gis + Ghan + Ylg
Gis,Maef,Lerru,,,,3,12R,touch,"Enables the caster to enchant their shield so that it may be used to parry insubstantial attacks by spirits, wraiths, elementals and magically enchanted weapons that would otherwise pass through a physical defence. This includes the ability to parry darkness elemental and enchanted weapon attacks on the caster’s shadow.",34,"Enables the caster to enchant their shield so that it may be used to parry insubstantial attacks by spirits, wraiths, elementals and magically enchanted weapons that would otherwise pass through a ...",Gis|Maef|Lerru,3,Gis + Maef + Lerru
Gis,Maef,Chom,,,,3,12R,20Sd,Suppresses up to three points of magically generated armour protection on the target for the duration of the spell. The spell may also negate other magical protections up to three key cost (at the referee’s discretion) for the duration of the spell.,35,Suppresses up to three points of magically generated armour protection on the target for the duration of the spell.,Gis|Maef|Chom,3,Gis + Maef + Chom
Gis,Maef,Cya,,,,3,6R,self,"Creates a shimmering magical defence about the caster’s body. The defence have no effect against mundane attacks but will protect against the touch attacks of wraiths or similar. The armour will also halve the effect from any non-physical elemental attacks. This includes attacks made by Light elementals. Darkness elementals, the breath of ice elementals and bolts and pulses from Lightning elementals.",35,Creates a shimmering magical defence about the caster’s body. The defence have no effect against mundane attacks but will protect against the touch attacks of wraiths or similar.,Gis|Maef|Cya,3,Gis + Maef + Cya
Gis,Eyama,Ekat,Evu,,,4,1R,10Sd,"Pulls the caster’s armour on to their body over the course of 1R. The armour will be fitted, buckled tied as the caster would wear it normally and will remain on until the caster removes it. If the caster has no armour of their own to hand, then any unclaimed armour within range will be considered fair game and fitted as well as possible to the caster’s body.",35,"Pulls the caster’s armour on to their body over the course of 1R. The armour will be fitted, buckled tied as the caster would wear it normally and will remain on until the caster removes it.",Gis|Eyama|Ekat|Evu,4,Gis + Eyama + Ekat + Evu
Gis,Ghan,Ekat,Evu,,,4,12R,self,Enchants the caster’s armour such that it always protects at full value against any blows the caster receives whilst the spell is active. This spell will not work with existing defence magics and will cease to work if another defence spell is cast upon the armour. ,35,Enchants the caster’s armour such that it always protects at full value against any blows the caster receives whilst the spell is active.,Gis|Ghan|Ekat|Evu,4,Gis + Ghan + Ekat + Evu
Eja,Evu,,,,,1 ∞,V 1,self,Increases the caster’s distance vision. Enabling them to zoom in to see things in more detail. This will effectively increase the caster’s see skills by +10% for the duration of the spell. The spell will counter EJA-SEN.,37,Increases the caster’s distance vision. Enabling them to zoom in to see things in more detail.,Eja|Evu,2,Eja + Evu
Eja,Sen,,,,,1 ∞,V 1,self,"Improves the caster’s ability to focus on details, enabling them to zoom in on a small area. This spell is often used by shortsighted people for reading. It also will effectively increase their search skill by +10% for the duration of the spell. The spell will counter EJA EVU.",37,"Improves the caster’s ability to focus on details, enabling them to zoom in on a small area. This spell is often used by shortsighted people for reading.",Eja|Sen,2,Eja + Sen
Eja,Lerru,,,,,2 ∞,V 1,self,Allows the caster to zoom their view in on a distant object or switch to view details on something much closer. The spell aslo enhances the number of colours the caster can see.. This will effectively increase the caster’s see and search skills by +25%.,37,Allows the caster to zoom their view in on a distant object or switch to view details on something much closer. The spell aslo enhances the number of colours the caster can see..,Eja|Lerru,2,Eja + Lerru
Eja,Cya,,,,,2 ∞,see Spell,touch,"Allows the caster to set an eye glyph onto the object upon which it is cast. The object must be non-living and non-magical. The glyph will remain closed until the enchanter wishes to use it. The magical eye may then be opened by concentrating for one round. Once it is opened the caster may then see through the eye glyph from its fixed position. The enchanter will need to maintain concentration while viewing, the vision appearing in the mind’s eye, but they may still see things with their own eyes. Once it has been set in an object, the enchanter may use the eye any time, or from any distance away. The eye must be opened for a minimum of 6R, but may then be closed again, remaining concealed to all but a successful search roll. The eye may be used in this way two times for each level of the caster, after which it will disappear. If such a glyph is covered it will be rendered impotent. It will take no damage from being struck, although if the wall or object it has been placed upon is broken or scratched the glyph may be destroyed.",37,Allows the caster to set an eye glyph onto the object upon which it is cast. The object must be non-living and non-magical.,Eja|Cya,2,Eja + Cya
Eja,Chom,,,,,2 ∞,V 1,self,This will create an area with a radius of 1Sd per level of the caster within which a veil will be drawn over the eyes of anyone who enters (including the caster). The veil will cause all skills needing sight to be halved for the duration of the spell. This may include combat skills. People entering the area passively may not notice their sight has been affected unless they are specifically attempting to use a skill involving sight. This may be useful if the caster wishes to conceal something unobtrusively.,37,This will create an area with a radius of 1Sd per level of the caster within which a veil will be drawn over the eyes of anyone who enters (including the caster).,Eja|Chom,2,Eja + Chom
Eja,Shass,,,,,2,V1,self,"Allows an enchanter to tell if they are being watched. When alerted to such, the caster will gain a sense of the approximate range and direction of the watcher without having to turn and actively look back at them.",38,Allows an enchanter to tell if they are being watched.,Eja|Shass,2,Eja + Shass
Eja,Eyama,,,,,2,instant,20Sd,"Makes the caster or target the centre of attention for a few moments. As soon as the spell takes effect, all creatures in range will find their eyes drawn, even if only briefly, to the them. If a creature or person actively wants to resist looking at the caster they must make a KEY vs the caster’s KEY roll to do so.",38,"Makes the caster or target the centre of attention for a few moments. As soon as the spell takes effect, all creatures in range will find their eyes drawn, even if only briefly, to the them.",Eja|Eyama,2,Eja + Eyama
Eja,Tira,,,,,2,V1,touch,"Allows the caster to see through the eyes of the target. The recipient need not be of the same species as the caster—providing it has some sort of eye. If the target is unwilling or unaware their KEY must first be overcome. The target need not remain in range after the spell has been cast. The caster cannot see through their own eyes whilst the spell is in effect, although they may dismiss the spell at any time. Note that, unless the target is familiar with magic or has knowledge of this spell, they will only experience a momentary blurring of vision as the spell is cast and will be unaware that their sight is being used.",38,Allows the caster to see through the eyes of the target. The recipient need not be of the same species as the caster—providing it has some sort of eye.,Eja|Tira,2,Eja + Tira
Eja,Worav,,,,,2,V 1,self,Gives the caster all-round 360º vision for the duration of the spell.,38,Gives the caster all-round 360º vision for the duration of the spell.,Eja|Worav,2,Eja + Worav
Eja,Xama,,,,,2,instant,20Sd,Enables the caster to stare at a selected target and cause them a jolt of pain. This jolt will cause them to lose concentration. As a result the next skill roll they make in the same round will be reduced by 60. The caster must overcome the target’s Key for this spell to be effective.,38,Enables the caster to stare at a selected target and cause them a jolt of pain. This jolt will cause them to lose concentration.,Eja|Xama,2,Eja + Xama
Eja,Gis,,,,,2,V2,touch,"Protects the recipient’s eyes from, bright lights, dust, insects, snow blindness and sharp objects.",39,"Protects the recipient’s eyes from, bright lights, dust, insects, snow blindness and sharp objects.",Eja|Gis,2,Eja + Gis
